torneo;fecha;team;rival;Fundamento;player;Ind;eficiencia;total_saque;saque=;saque=dis;saque/;saque/dis;saque-;saque-dis;saque!;saque!dis;saque+;saque+dis;saque#;saque#dis
amistoso;22/08/2024;Sada;Minas;Saque;Equipo;4;10%;103;17;17%;5;5%;45;44%;14;14%;20;19%;2;2%
amistoso;22/08/2024;Sada;Minas;Saque;1 Oppenkoski;4;12%;8;1;12%;;;4;50%;1;12%;1;12%;1;12%
amistoso;22/08/2024;Sada;Minas;Saque;5 Brasilia;4;25%;8;;;;;4;50%;2;25%;2;25%;;
amistoso;22/08/2024;Sada;Minas;Saque;8 Wallace;4;20%;10;;;;;6;60%;2;20%;2;20%;;
amistoso;22/08/2024;Sada;Minas;Saque;10 Cledenilson;3;0%;14;4;29%;1;7%;4;29%;2;14%;3;21%;;
amistoso;22/08/2024;Sada;Minas;Saque;11 Rodriguinho;5;47%;15;;;3;20%;5;33%;3;20%;3;20%;1;7%
amistoso;22/08/2024;Sada;Minas;Saque;12 Rodrigo;4;17%;6;;;;;5;83%;;;1;17%;;
amistoso;22/08/2024;Sada;Minas;Saque;15 Vaccari;4;17%;12;2;17%;;;4;33%;2;17%;4;33%;;
amistoso;22/08/2024;Sada;Minas;Saque;16 Lucao;3;-20%;10;4;40%;;;3;30%;1;10%;2;20%;;
amistoso;22/08/2024;Sada;Minas;Saque;20 Parra;3;-25%;4;2;50%;1;25%;1;25%;;;;;;
amistoso;22/08/2024;Sada;Minas;Saque;21 Martos;4;0%;3;1;33%;;;1;33%;;;1;33%;;
amistoso;22/08/2024;Sada;Minas;Saque;22 Velasco;2;-38%;8;3;38%;;;4;50%;1;12%;;;;
amistoso;22/08/2024;Sada;Minas;Saque;31 Perna;5;20%;5;;;;;4;80%;;;1;20%;;
amistoso;22/08/2024;Minas;Sada;Saque;Equipo;3;-7%;98;28;29%;4;4%;41;42%;8;8%;12;12%;5;5%
amistoso;22/08/2024;Minas;Sada;Saque;1 P. MEIJON;4;0%;3;;;;;3;100%;;;;;;
amistoso;22/08/2024;Minas;Sada;Saque;3 G. GUSTAVO;5;12%;8;1;12%;;;5;62%;;;1;12%;1;12%
amistoso;22/08/2024;Minas;Sada;Saque;4 HENRIQUE;3;-25%;4;1;25%;;;3;75%;;;;;;
amistoso;22/08/2024;Minas;Sada;Saque;7 PAULO;3;-14%;7;3;43%;;;1;14%;1;14%;2;29%;;
amistoso;22/08/2024;Minas;Sada;Saque;8 WILIAN;2;-33%;9;4;44%;;;3;33%;1;11%;1;11%;;
amistoso;22/08/2024;Minas;Sada;Saque;9 PATO;3;0%;7;1;14%;;;4;57%;1;14%;1;14%;;
amistoso;22/08/2024;Minas;Sada;Saque;10 ABOUBA;2;-33%;6;3;50%;;;2;33%;;;1;17%;;
amistoso;22/08/2024;Minas;Sada;Saque;11 BERTOLINI;3;-15%;13;4;31%;;;6;46%;1;8%;2;15%;;
amistoso;22/08/2024;Minas;Sada;Saque;13 BERNARDO;5;33%;3;;;;;2;67%;;;1;33%;;
amistoso;22/08/2024;Minas;Sada;Saque;14 JAVAD;7;57%;7;1;14%;1;14%;1;14%;;;2;29%;2;29%
amistoso;22/08/2024;Minas;Sada;Saque;16 KELVI G.;4;-8%;13;3;23%;1;8%;7;54%;1;8%;;;1;8%
amistoso;22/08/2024;Minas;Sada;Saque;17 BRYAN;2;-40%;5;3;60%;1;20%;;;1;20%;;;;
amistoso;22/08/2024;Minas;Sada;Saque;18 SAMUEL;4;22%;9;1;11%;1;11%;3;33%;2;22%;1;11%;1;11%
amistoso;22/08/2024;Minas;Sada;Saque;19 ARTHUR;1;-75%;4;3;75%;;;1;25%;;;;;;
